CollectionLTR,FAT,SNF, Amount
157.8,7.56,8.91,6720.29
921.7,3.47,8.22,18609.95
224.6,6.52,8.95,8097.982
4102.2,3.62,8.36,84732.42
815.8,5.89,8.74,27068.434
85.8,6.03,8.97,2843.899
110.2,5.37,8.97,3087.453
80.8,3.33,8.25,1527.27
807.9,5.88,8.04,21501.563
804.8,3.03,8,12285.28
146.6,8.83,8.96,6959.675
10.7,3.83,8.09,207.39
1696.8,3.57,8.33,34366.4
35.5,2.9,7.85,510.88
743.7,3.26,7.72,10736.56
688.2,3.62,8.41,13391.408
3.1,2.95,7.88,44.72
118,4.47,8.29,2448.704
56.1,4.25,8.32,1105.06
758.5,3.86,8.37,15269.895
8.7,6.51,8.92,300.62
3.7,3.5,8.5,72.15
129.1,4.02,8.34,2489.13
1983.6,4.04,8.18,37824.06
485.9,3.68,8.36,9768.94
1545.9,4.12,8.55,36919.735
677.5,3.43,8.41,14852.66
1585.8,3.72,8.24,31077.06
193.1,3.44,8.33,4032.79
3736.1,3.7,8.67,89624.91
1427.6,3.45,8.36,31760.34
40.2,5.27,8.87,1071.838
164.3,3.51,8.08,2932.6
975.7,3.87,8.4,21776.98
541.6,4.77,8.65,14341.126
7.3,5.34,9.85,202.278
468.2,3.57,8.41,10259.83
3021.3,3.9,8.41,70583.894
242,3.9,8.46,5783.18
1182.4,3.92,8.31,24852.87
35,4.37,8.59,836.94
84.9,5.18,8.47,1960.64
20.3,3.86,8.9,486.7
900.4,3.85,8.47,20027.45
530,4.06,8.89,12373.29
1303.6,3.56,8.31,27628.91
2634.1,3.72,8.5,60322.3
73.5,3.72,8.62,1808.41
36.7,3.42,8.55,812.03
83.3,3.2,8.09,1454.53
56.3,3.95,8.3,982.7
70.1,3.48,8.11,1210.12
463.3,3.52,8.34,9408.25
385,3.75,8.36,7597.5
841.9,3.55,8.63,18197.09
359.7,3.81,8.31,7203.16
124.5,4.42,8.42,2689.14
101.3,3.44,8.34,2103.64
809.3,3.51,8.44,18321.6
43.1,3.97,9.1,1061.55
525.9,3.25,8.34,9691.895
1361.7,3.43,8.25,25446.99
67.1,5.58,8.37,1731.753
2777.3,3.84,8.15,55430.5
305.2,3.7,8.31,6433.14
1364.6,3.88,8.27,27828.78
797.1,5.59,8.94,22505.534
369.7,3.42,8.17,7017.73
2132.7,3.45,8.43,47206.9
1033.2,3.5,8.38,22478.51
623.7,5.64,8.57,18158.533
115.9,6.97,8.76,3965.656
243.1,3.48,8.65,5609.32
67.7,7.66,9.72,2621.384
62.4,3.91,8.32,1340.21
105.9,4.24,8.5,2459.12
248.6,3.91,8.48,5387.5
62.3,3.52,8.43,1304.24
945.1,3.78,8.55,22224.62
482.3,3.43,8.42,10595.42
152.1,3.59,8.45,3412.54
17.4,3.69,8.56,436.01
8.3,3.86,8.4,190.67
656.9,3.54,8.5,16366.77
11.1,6.44,8.8,411.03
3949.9,4.73,8.63,94342.09
755,7.85,8.93,32871.879
31.4,8.51,9,1571.26
271.1,5.7,8.26,7246.921
15232.4,3.85,8.4,344509.35
85.2,7.36,8.96,3660.341
621.8,8.06,8.92,27230.935
21.8,8.18,8.71,1029.49
922.7,5.91,8.72,30262.753
26.3,5.17,8.53,708.879
639.4,3.72,8.33,12830.67
76.6,6.14,9,2667.035
46.7,3.39,8.26,917.48
2405.4,3.84,8.47,53287.765
689.8,5.9,8.84,22485.757
2169.1,3.62,8.53,44391.705
7290.6,3.69,8.32,153888.659
